variety,count,avg_price,min_price,max_price,stddev_price,cv
李子,506,12.396245059288537,3.5,70.0,12.771394619459759,1.0302631610118196
猛虎,53,2.7830188679245285,1.2,9.6,2.5094234588428868,0.9016911411435456
青苹果,253,12.624110671936759,5.4,35.5,10.768159804488635,0.852983634595831
金太阳杏,127,13.093700787401575,4.0,37.0,9.654801815689304,0.7373623372376821
黄毛桃,311,15.276205787781349,6.0,41.0,10.663311221317517,0.6980340124670585
蟠桃,348,15.168103448275861,5.0,40.0,10.389658451209229,0.6849675364252745
猕猴桃,1186,11.534738617200675,5.6,71.5,7.619888963883707,0.6606035226945568
鸡毛菜,513,9.019688109161795,2.5,38.0,5.799368761126861,0.6429677712731688
砂糖橘,131,12.514503816793894,7.5,34.0,7.8747905675438545,0.6292531196463614
紫豇豆,71,82.66197183098592,13.0,221.0,49.32804002997885,0.5967440521602485
茴香,717,4.976708507670851,1.5,16.5,2.9613575118445663,0.5950433920893855
金丝南瓜,716,3.2156424581005587,1.2,9.8,1.9084738546291842,0.5934969075375677
油桃,462,13.387445887445887,5.5,47.0,7.932175503158047,0.5925085016101888
茼蒿,514,12.245914396887159,2.5,38.0,7.196400500000021,0.58765725994535
菠菜,1333,5.543803450862716,1.4,20.0,3.13407110066797,0.5653286824554092
白糖罐,201,7.113432835820896,4.3,16.5,3.9837254745672968,0.5600285497188604
菊花菜,514,5.755252918287938,1.8,22.0,3.1480774222333676,0.5469920204948789
九九草莓,333,42.852852852852855,17.0,105.0,23.30774276631722,0.5439017758362742
小白菜,1230,3.3364227642276423,0.9,10.0,1.7956389309071188,0.5381928663715961
香菜,717,6.683542538354255,2.3,22.0,3.550266691129846,0.5311953459944699
冬枣,459,15.637908496732026,8.0,42.0,8.283771738687824,0.529723763278123
黄花菜,70,74.97142857142858,31.0,181.0,39.27678498183524,0.5238900435839304
香椿,71,65.36619718309859,31.0,201.0,33.550916290072024,0.5132762457649459
桂味,65,35.00769230769231,15.0,70.0,17.875107584399213,0.5106051386446709
甜王,719,3.8837830319888735,1.2,10.5,1.9443852850459775,0.5006420979315788
黄油桃,398,14.157537688442211,6.0,29.0,7.061334812722514,0.4987685689501767
平鱼,2236,53.08273703041145,19.0,99.0,25.744552158440204,0.48498916217698007
西梅,227,19.766519823788546,8.5,81.0,9.486162617076207,0.47991061156146625
圆白菜,848,2.173443396226415,0.8,6.5,1.0397994682718592,0.47841111025812044
快菜,514,3.135408560311284,0.9,9.0,1.4969075101560763,0.47742024089117846
巨峰,380,12.330263157894738,6.4,32.0,5.867647979093045,0.4758737022847843
黄油蟠,165,19.86060606060606,8.0,38.0,9.441667490242631,0.47539674577053226
阳光玫瑰,719,30.466620305980527,11.0,78.0,14.412940974385466,0.47307318073466254
大葱,883,3.185934314835787,1.3,7.8,1.4941406740856789,0.4689803763774997
妃子笑,126,23.915873015873018,9.0,57.0,11.07973871676341,0.4632797100657694
小葱,715,6.527720279720279,1.76,12.5,3.000023292172876,0.4595820843446789
彩椒,716,12.273743016759777,4.5,26.0,5.617411290496228,0.4576771147013312
木耳菜,514,9.230155642023346,3.5,21.0,4.210416533210906,0.4561587796029774
苦菊,1231,6.572217709179529,2.5,23.0,2.98802621935008,0.4546450454884738
青提,192,17.020833333333332,9.0,32.0,7.697458840445272,0.4522374838939695
红尖椒,716,8.943156424581005,2.9,25.0,4.040590635091885,0.45180811374225627
毛冬瓜,716,2.6372067039106146,1.0,5.3,1.186419195842131,0.44987721064216724
苦瓜,716,6.3664804469273735,2.5,16.5,2.8556790506246617,0.44854909622833844
油菜,1334,3.0912368815592206,1.2,10.0,1.383798348324739,0.44765199217820884
无籽小号-大号,717,4.1669456066945605,1.3,10.1,1.8504365372317286,0.44407504006264
菜心,514,5.064007782101167,2.0,14.5,2.2323442620758005,0.440825598642653
荔枝王,51,53.69607843137255,23.0,87.0,23.648483763525427,0.44041361034865684
杭椒,716,6.705167597765363,2.2,15.5,2.910581341947943,0.43408032677929703
红李,25,34.08,19.0,48.0,14.787156589419078,0.43389543983037204
蒿子秆,514,6.464007782101167,1.9,18.0,2.79252837149282,0.4320119136034039
苋菜,514,8.919260700389104,2.5,21.0,3.819764778247816,0.4282602456144351
香葱,514,8.354669260700389,2.3,16.0,3.5763773894164044,0.4280692960808588
乒乓球葡萄,252,19.03769841269841,9.0,36.0,8.076055767099687,0.42421387249799297
空心菜,514,8.75739299610895,2.5,21.0,3.7048824291823257,0.42305768746800154
巨峰葡萄,387,11.350180878552973,5.3,26.5,4.790371627535019,0.42205244822016796
凤梨,410,7.874390243902439,3.5,22.0,3.31371938761502,0.4208223475057018
芹菜,814,3.082972972972973,1.3,7.1,1.2870708209580501,0.4174771664368182
大白菜,819,1.2927838827838827,0.56,3.3,0.538692672620056,0.4166919775175681
兰花,71,33.92253521126761,19.0,79.0,14.093475665641465,0.4154605656053743
黄瓜,1531,4.51467668190725,1.3,13.0,1.8739257863942829,0.4150741943280493
玫瑰香,480,15.564583333333333,9.0,33.0,6.433455406625021,0.413339391671799
博阳,719,8.75076495132128,3.4,16.5,3.604808974512425,0.41194215529330774
穿心莲,514,6.918677042801556,2.0,19.0,2.8416221036752445,0.41071755280610645
景甜甜瓜,156,5.0673076923076925,3.9,11.8,2.0669492389334443,0.40789890104189414
番茄,2151,4.83951650395165,1.6,12.0,1.9649487947839386,0.4060217158427878
油麦菜,1230,5.285691056910569,1.6,13.0,2.1458663050211024,0.4059764904752755
娃娃菜,718,2.0323119777158776,1.0,5.1,0.8204417306287097,0.40369871339872093
