date,avg_price,count
2023-03-06,12.066363636363635,44
2023-03-09,15.733333333333333,15
2023-03-10,36.12276923076923,260
2023-03-11,21.650285714285715,315
2023-03-12,26.48842105263158,418
2023-03-13,23.966510204081633,490
2023-03-14,25.296599552572708,447
2023-03-15,25.71392857142857,448
2023-03-16,25.732170022371367,447
2023-03-17,25.733959731543624,447
2023-03-18,22.187232704402515,318
2023-03-19,26.946175771971497,421
2023-03-20,26.759633333333333,600
2023-03-21,25.394711111111114,450
2023-03-22,25.416659242761693,449
2023-03-23,25.374399999999998,450
2023-03-24,25.26838137472284,451
2023-03-25,26.692809523809522,420
2023-03-26,22.091202531645568,316
2023-03-27,24.228895705521474,489
2023-03-28,25.323011235955057,445
2023-03-29,25.41360178970917,447
2023-03-30,25.404071588366893,447
2023-03-31,27.843639639639637,555
2023-04-01,22.077015873015874,315
2023-04-02,26.691551312649164,419
2023-04-03,24.037653061224493,490
2023-04-04,25.345324384787475,447
2023-04-05,25.27700892857143,448
2023-04-06,25.35817777777778,450
2023-04-07,25.428533333333334,450
2023-04-08,22.035849056603773,318
2023-04-09,26.810568720379145,422
2023-04-10,26.590299500831946,601
2023-04-11,25.553880266075385,451
2023-04-12,25.471618625277163,451
2023-04-13,25.3864,450
2023-04-14,28.396546762589928,556
2023-04-15,21.782649842271294,317
2023-04-16,26.755981087470452,423
2023-04-17,19.69546153846154,390
2023-04-18,25.54989010989011,455
2023-04-19,25.468395604395607,455
2023-04-20,25.442241758241757,455
2023-04-21,25.813640350877193,456
2023-04-22,21.926273291925465,322
2023-04-23,27.20696261682243,428
2023-04-24,24.590279441117765,501
2023-04-25,25.857680525164113,457
2023-04-26,25.88195652173913,460
2023-04-27,25.906956521739133,460
2023-04-28,25.32433260393873,457
2023-04-29,21.87483076923077,325
2023-04-30,29.184897959183672,539
2023-05-01,25.51533613445378,476
2023-05-02,25.600303687635574,461
2023-05-03,25.659347826086954,460
2023-05-04,25.562478260869565,460
2023-05-05,25.552347826086958,460
2023-05-06,21.89206153846154,325
2023-05-07,26.81781902552204,431
2023-05-08,24.116115537848604,502
2023-05-09,25.383886462882096,458
2023-05-10,26.28601226993865,652
2023-05-11,25.30940919037199,457
2023-05-12,25.249715536105036,457
2023-05-13,21.456149068322983,322
2023-05-14,26.572383177570092,428
2023-05-15,23.53885771543086,499
2023-05-16,24.520657894736843,456
2023-05-17,24.513054945054947,455
2023-05-18,25.222683982683982,462
2023-05-19,25.72691466083151,457
2023-05-20,25.216308411214953,428
2023-05-21,31.546044444444448,675
2023-05-22,22.34411131059246,557
2023-05-23,25.419132321041214,461
2023-05-24,25.41253796095445,461
2023-05-25,25.62372197309417,446
2023-05-26,25.223326039387306,457
2023-05-27,21.30907975460123,326
2023-05-28,27.451146788990826,436
2023-05-29,24.766954813359526,509
2023-05-30,25.933995680345575,463
2023-05-31,28.28576923076923,572
2023-06-01,25.875766738660907,463
2023-06-02,25.936810344827588,464
2023-06-03,20.72171779141104,326
2023-06-04,26.752018348623853,436
2023-06-05,24.247648221343873,506
2023-06-06,25.373491379310344,464
2023-06-07,26.049720430107527,465
2023-06-08,26.053776824034333,466
2023-06-09,26.087896995708153,466
2023-06-10,24.960871559633027,436
2023-06-11,27.322798165137613,436
2023-06-12,24.525988258317028,511
2023-06-13,25.742715517241383,464
2023-06-14,25.764525862068965,464
2023-06-15,25.71870410367171,463
2023-06-16,25.674434782608696,460
2023-06-17,20.35506172839506,324
2023-06-18,26.918106235565823,433
2023-06-19,24.42027833001988,503
2023-06-20,28.31861946902655,565
2023-06-21,25.702008733624456,458
2023-06-22,25.684104803493447,458
2023-06-23,24.074658385093166,483
2023-06-24,20.197071651090344,321
2023-06-25,26.192037037037036,432
2023-06-26,23.746274900398404,502
2023-06-27,24.785403050108933,459
2023-06-28,24.841960784313724,459
2023-06-29,24.37912280701754,456
2023-06-30,26.304341637010676,562
2023-07-01,19.85588785046729,321
2023-07-02,25.524345794392524,428
2023-07-03,23.106060000000003,500
2023-07-04,24.034204793028323,459
2023-07-05,24.537105263157894,456
2023-07-06,24.469605263157895,456
2023-07-07,24.467368421052633,456
2023-07-08,19.416625,320
2023-07-09,25.65658878504673,428
2023-07-10,25.034590984974958,599
2023-07-11,24.102527233115467,459
2023-07-12,24.086434782608695,460
2023-07-13,24.03804347826087,460
2023-07-14,24.263123644251625,461
2023-07-15,18.84456790123457,324
2023-07-16,25.52995391705069,434
2023-07-17,23.318174603174604,504
2023-07-18,24.46095652173913,460
2023-07-19,24.512679738562092,459
2023-07-20,26.26128801431127,559
2023-07-21,24.29925438596491,456
2023-07-22,18.604827586206895,319
2023-07-23,25.3761214953271,428
2023-07-24,23.08332,500
2023-07-25,24.153640350877193,456
2023-07-26,24.226973684210527,456
2023-07-27,24.74074074074074,459
2023-07-28,24.719869281045753,459
2023-07-29,18.508401253918496,319
2023-07-30,26.087935034802783,431
2023-07-31,25.6076402640264,606
2023-08-01,25.243703703703705,459
2023-08-02,25.389213973799126,458
2023-08-03,25.382052401746723,458
2023-08-04,25.461132897603484,459
2023-08-05,18.99203761755486,319
2023-08-06,26.446898148148147,432
2023-08-07,24.396039603960396,505
2023-08-08,25.738434782608696,460
2023-08-09,25.709629629629628,459
2023-08-10,26.828601769911504,565
2023-08-11,25.38,462
2023-08-12,18.858699690402474,323
2023-08-13,26.11890160183066,437
2023-08-14,24.12600790513834,506
2023-08-15,25.057398720682304,469
2023-08-16,25.055829787234043,470
2023-08-17,24.81574468085106,470
2023-08-18,24.674468085106383,470
